Epoch,G Loss,D Loss,Validation Loss
1,7.817984352592661,1.3516213005664302,6.91569275326199
2,6.949719232671401,1.2661715545574157,6.7084891690148245
3,6.772069524984066,1.1856820549951548,6.499334616131253
4,6.528262004798868,1.168573656502892,6.473111751344469
5,6.456491089668594,1.1257438853341324,6.228863133324517
6,6.361124609030929,1.121289195633736,6.289832475450304
7,6.283843107250224,1.097184836363592,6.0241773552364775
8,6.313736221035655,1.0268367759319914,6.067998838424683
9,6.223007803203679,1.073868701604902,6.42205597029792
10,6.234921699812432,1.0130056970927561,6.35729177263048
